Model;Feature Selection;Features Number;Fold;Precision;Recall;F1-score;Area Under ROC (AUC);Kappa;Accuracy;True Positive Rate (TPR);False Positive Rate (FPR);True Negative Rate (TNR);False Negative Rate (FNR);NPofB20
RandomForest;none;22;1;0.8908045977011494;0.07993811242908716;0.14671083767155702;0.9593900644757642;0.12524912371520547;0.8614781807006762;0.07993811242908716;0.0017152658662092624;0.9982847341337907;0.9200618875709129;0.9071686436307375
RandomForest;none;22;2;0.8550891316848763;0.8590410167533218;0.8570605187319885;0.9834227229761927;0.8355925059333215;0.9626702792202905;0.8590410167533218;0.021806853582554516;0.9781931464174455;0.14095898324667822;0.9722703639514731
RandomForest;none;22;3;0.9125520523497918;0.7882836587872559;0.845878136200717;0.9818432492294926;0.8226200620484478;0.959366140873737;0.7882836587872559;0.012446024892049785;0.9875539751079502;0.2117163412127441;0.9347379239465571
RandomForest;none;22;4;0.8293760353395914;0.9175320708613317;0.87122969837587;0.9885722525169091;0.8530560644207918;0.9680667433831991;0.9175320708613317;0.025189532893127906;0.9748104671068721;0.0824679291386683;0.9920586438607208
RandomForest;none;22;5;0.9293051359516616;0.8544444444444445;0.8903039073806078;0.9879206286318014;0.8754036992369438;0.9737170596393898;0.8544444444444445;0.009270998415213946;0.990729001584786;0.14555555555555555;0.965
RandomForest;none;22;6;0.8406720741599073;0.8611275964391691;0.8507768982703019;0.9675092243745763;0.8308903498810474;0.9648989724846563;0.8611275964391691;0.021457553058676655;0.9785424469413233;0.13887240356083086;0.9264094955489615
RandomForest;none;22;7;0.8709677419354839;0.9130434782608695;0.8915094339622641;0.9854708921261958;0.8770212538239937;0.9744231303864332;0.9130434782608695;0.017593465284322967;0.9824065347156771;0.08695652173913043;0.964975845410628
RandomForest;none;22;8;0.33411078717201165;0.8036465638148668;0.4719934102141681;0.9284505746041485;0.43223252969377607;0.9108669957588821;0.8036465638148668;0.08354059985369422;0.9164594001463058;0.19635343618513323;0.9635343618513323
NaiveBayes;none;22;1;0.548051948051948;0.21763795771015987;0.31155407899593945;0.867673344584067;0.24785813993580796;0.8567148125384142;0.21763795771015987;0.031416448496885435;0.9685835515031146;0.7823620422898401;0.6183599793708097
NaiveBayes;none;22;2;0.47927736450584485;0.2605430387059503;0.33757485029940115;0.8955975113475505;0.2706496815239216;0.8667870851207948;0.2605430387059503;0.04240221529941156;0.9575977847005884;0.7394569612940497;0.7221259387637204
NaiveBayes;none;22;3;0.4729064039408867;0.24665981500513876;0.3242147922998987;0.8915972559591574;0.25163972354683595;0.8545467761866686;0.24665981500513876;0.04529675726018119;0.9547032427398188;0.7533401849948612;0.697841726618705
NaiveBayes;none;22;4;0.43149946062567424;0.24434941967012827;0.31201248049922;0.895811674263121;0.24799132959585435;0.8731300345224396;0.24434941967012827;0.04296078910899161;0.9570392108910084;0.7556505803298718;0.7330482590103848
NaiveBayes;none;22;5;0.44384449244060475;0.22833333333333333;0.30154071900220103;0.8943221077654516;0.2368190192609824;0.8679611650485437;0.22833333333333333;0.04080824088748019;0.9591917591125199;0.7716666666666666;0.7055555555555556
NaiveBayes;none;22;6;0.3654054054054054;0.20059347181008902;0.2590038314176245;0.8735663552977176;0.19249515409572504;0.866629887593959;0.20059347181008902;0.04580212234706617;0.9541978776529338;0.799406528189911;0.687833827893175
NaiveBayes;none;22;7;0.3902439024390244;0.2028985507246377;0.266984505363528;0.8924842365313311;0.20433148565577094;0.871768140116764;0.2028985507246377;0.04123468426013195;0.958765315739868;0.7971014492753623;0.7506038647342995
NaiveBayes;none;22;8;0.14705882352941177;0.16830294530154277;0.15696533682145192;0.8494906486393871;0.109866765354373;0.9103803100882988;0.16830294530154277;0.05091441111923921;0.9490855888807608;0.8316970546984572;0.7026647966339411
IBk;none;22;1;0.8354806739345887;0.43476018566271274;0.5719131614654003;0.6757876774529161;0.5233018399707057;0.9030424093423478;0.43476018566271274;0.014986007041617767;0.9850139929583822;0.5652398143372873;0.5126353790613718
IBk;none;22;2;0.7928265524625268;0.855574812247256;0.8230063906640734;0.9056022175390268;0.7953270601573573;0.9520584029502521;0.855574812247256;0.03348909657320872;0.9665109034267912;0.14442518775274407;0.8688619295205083
IBk;none;22;3;0.8667820069204152;0.7723535457348407;0.8168478260869565;0.9086184008270723;0.7886771830874978;0.9510067601948099;0.7723535457348407;0.019558039116078233;0.9804419608839218;0.2276464542651593;0.8381294964028777
IBk;none;22;4;0.8160480349344978;0.9132559560171044;0.8619198616315941;0.9726932999964792;0.8423105306384693;0.9655494821634062;0.9132559560171044;0.027472079563055352;0.9725279204369447;0.08674404398289554;0.9664019547953574
IBk;none;22;5;0.9150209455415919;0.8494444444444444;0.8810141169691732;0.9609422873745378;0.8647599635027713;0.9713592233009709;0.8494444444444444;0.011251980982567354;0.9887480190174327;0.15055555555555555;0.9233333333333333
IBk;none;22;6;0.8296892980437284;0.8557863501483679;0.8425357873210634;0.9420502978472755;0.8214695418302244;0.962830149644852;0.8557863501483679;0.023096129837702872;0.9769038701622972;0.14421364985163204;0.9264094955489615
IBk;none;22;7;0.8541548897682306;0.9124396135265701;0.8823357664233576;0.9754953142145547;0.866458596518671;0.971990547678621;0.9124396135265701;0.020263901979264844;0.9797360980207351;0.08756038647342995;0.9601449275362319
IBk;none;22;8;0.3300233644859813;0.7924263674614306;0.46597938144329903;0.909474632978718;0.4257878613996411;0.9099631509420845;0.7924263674614306;0.08390636430138991;0.9160936356986101;0.20757363253856942;0.9509116409537167
RandomForest;info-gain;18;1;0.9095022624434389;0.10366168127900979;0.1861111111111111;0.9598573499964127;0.16052060785276082;0.8649354640442531;0.10366168127900979;0.0018055430170623814;0.9981944569829376;0.8963383187209902;0.9112944816915935
RandomForest;info-gain;18;2;0.8510044642857143;0.8809936452917388;0.8657394266250354;0.9834370455155804;0.845226801219528;0.9644012944983819;0.8809936452917388;0.023104880581516097;0.976895119418484;0.11900635470826113;0.9740034662045061
RandomForest;info-gain;18;3;0.894137734775185;0.8072970195272353;0.8485012152308938;0.982613713086282;0.8250115686977262;0.9592207603401904;0.8072970195272353;0.015748031496062992;0.984251968503937;0.19270298047276466;0.9527235354573484
RandomForest;info-gain;18;4;0.8204570184983678;0.9211973121563837;0.8679136690647482;0.9894458111538728;0.849122485495329;0.966987917146145;0.9211973121563837;0.02690144289557349;0.9730985571044265;0.07880268784361637;0.9926695174098962
RandomForest;info-gain;18;5;0.9272943980929678;0.8644444444444445;0.8947671075330649;0.9874497050537067;0.8803562571239181;0.9746185852981969;0.8644444444444445;0.009667194928684628;0.9903328050713154;0.13555555555555557;0.9738888888888889
RandomForest;info-gain;18;6;0.8346636259977195;0.8688427299703264;0.8514102936900261;0.9737727228946014;0.831429593899025;0.9647610509620026;0.8688427299703264;0.02262796504369538;0.9773720349563046;0.1311572700296736;0.9406528189910979
RandomForest;info-gain;18;7;0.8681948424068768;0.9148550724637681;0.8909144369303146;0.9814211282082804;0.8763051004969441;0.974214623297192;0.9148550724637681;0.018064718818724474;0.9819352811812755;0.08514492753623189;0.9746376811594203
RandomForest;info-gain;18;8;0.3335243553008596;0.8162692847124825;0.4735557363710334;0.9284134851657636;0.43369611797872537;0.9100326774664534;0.8162692847124825;0.0850768105340161;0.9149231894659839;0.18373071528751753;0.9719495091164095
NaiveBayes;info-gain;18;1;0.5516339869281046;0.21763795771015987;0.3121301775147929;0.8679580737826448;0.24881116439643636;0.8570989551321451;0.21763795771015987;0.030965062742619842;0.9690349372573801;0.7823620422898401;0.6204228984012378
NaiveBayes;info-gain;18;2;0.4781216648879402;0.2588099364529174;0.335832083958021;0.8958503929024993;0.2689345423321287;0.8666365620531346;0.2588099364529174;0.04231568016614746;0.9576843198338525;0.7411900635470826;0.7232813402657423
NaiveBayes;info-gain;18;3;0.47186574531095754;0.24563206577595068;0.32308212233862793;0.891513981383564;0.2504897201140438;0.8544013956531221;0.24563206577595068;0.04529675726018119;0.9547032427398188;0.7543679342240494;0.6983556012332991
NaiveBayes;info-gain;18;4;0.43042071197411;0.24373854612095297;0.3112324492979719;0.8957706655105535;0.24713871205571414;0.8729861910241656;0.24373854612095297;0.04304230863291758;0.9569576913670824;0.7562614538790471;0.7330482590103848
NaiveBayes;info-gain;18;5;0.4394765539803708;0.2238888888888889;0.2966507177033493;0.894255568762106;0.23193416344416637;0.8674757281553398;0.2238888888888889;0.040729001584786054;0.9592709984152139;0.7761111111111111;0.7055555555555556
NaiveBayes;info-gain;18;6;0.37471264367816093;0.19347181008902078;0.2551859099804305;0.8727270390868981;0.19118126405135338;0.86876767119509;0.19347181008902078;0.04244694132334582;0.9575530586766542;0.8065281899109792;0.6890207715133532
NaiveBayes;info-gain;18;7;0.3901869158878505;0.20169082125603865;0.2659235668789809;0.8924788059224655;0.20344051372804473;0.8718376424798443;0.20169082125603865;0.040999057492931194;0.9590009425070688;0.7983091787439613;0.7506038647342995
NaiveBayes;info-gain;18;8;0.14619164619164618;0.16690042075736325;0.1558611656843484;0.8494982409448932;0.10875788989724396;0.9103803100882988;0.16690042075736325;0.05084125822970007;0.9491587417702999;0.8330995792426368;0.7026647966339411
IBk;info-gain;18;1;0.8359683794466403;0.4363073749355338;0.5733649610301592;0.6767215501150161;0.5248130818357066;0.9032728948985863;0.4363073749355338;0.014986007041617767;0.9850139929583822;0.5636926250644663;0.5131511088189789
IBk;info-gain;18;2;0.7928265524625268;0.855574812247256;0.8230063906640734;0.9056022175390268;0.7953270601573573;0.9520584029502521;0.855574812247256;0.03348909657320872;0.9665109034267912;0.14442518775274407;0.8688619295205083
IBk;info-gain;18;3;0.8667820069204152;0.7723535457348407;0.8168478260869565;0.9081686136993377;0.7886771830874978;0.9510067601948099;0.7723535457348407;0.019558039116078233;0.9804419608839218;0.2276464542651593;0.8381294964028777
IBk;info-gain;18;4;0.8160480349344978;0.9132559560171044;0.8619198616315941;0.9726223625732462;0.8423105306384693;0.9655494821634062;0.9132559560171044;0.027472079563055352;0.9725279204369447;0.08674404398289554;0.9664019547953574
IBk;info-gain;18;5;0.9151225343693963;0.8505555555555555;0.8816585084940972;0.961114126606797;0.8654809834158987;0.971497919556172;0.8505555555555555;0.011251980982567354;0.9887480190174327;0.14944444444444444;0.9238888888888889
IBk;info-gain;18;6;0.8295912492803684;0.855192878338279;0.8421975452951491;0.9419722240745063;0.8210928294655645;0.9627611888835252;0.855192878338279;0.023096129837702872;0.9769038701622972;0.14480712166172108;0.9264094955489615
IBk;info-gain;18;7;0.8541548897682306;0.9124396135265701;0.8823357664233576;0.9754900733212826;0.866458596518671;0.971990547678621;0.9124396135265701;0.020263901979264844;0.9797360980207351;0.08756038647342995;0.9601449275362319
IBk;info-gain;18;8;0.3300233644859813;0.7924263674614306;0.46597938144329903;0.909474632978718;0.4257878613996411;0.9099631509420845;0.7924263674614306;0.08390636430138991;0.9160936356986101;0.20757363253856942;0.9509116409537167
